0,1,2
0.0,0.0,5.5
0.0,1.0,19.5
0.0,2.0,34.0
1.0,0.0,5.5
1.0,1.0,19.5
1.0,2.0,34.0
1.0,3.0,97.0
1.0,4.0,160.5
1.0,5.0,174.5
2.0,0.0,5.5
3.0,0.0,5.5
4.0,0.0,5.5
4.0,1.0,19.5
4.0,2.0,34.0
5.0,0.0,5.5
5.0,1.0,19.5
5.0,2.0,34.0
5.0,3.0,97.0
5.0,4.0,160.5
5.0,5.0,174.5
5.0,6.0,189.5
5.0,7.0,206.0
5.0,8.0,222.0
6.0,0.0,5.5
6.0,1.0,19.5
7.0,0.0,5.5
7.0,1.0,19.5
7.0,2.0,34.0
8.0,0.0,5.5
9.0,0.0,5.5
10.0,0.0,5.5
11.0,0.0,5.5
12.0,0.0,5.5
12.0,1.0,19.5
13.0,0.0,5.5
14.0,0.0,5.5
15.0,0.0,5.5
15.0,1.0,19.5
15.0,2.0,34.0
16.0,0.0,5.5
16.0,1.0,19.5
16.0,2.0,34.0
16.0,3.0,97.0
16.0,4.0,160.5
16.0,5.0,174.5
16.0,6.0,189.5
16.0,7.0,206.0
16.0,8.0,222.0
16.0,9.0,239.0
17.0,0.0,5.5
18.0,0.0,5.5
18.0,1.0,19.5
18.0,2.0,34.0
19.0,0.0,5.5
20.0,0.0,5.5
20.0,1.0,19.5
20.0,2.0,34.0
21.0,0.0,5.5
21.0,1.0,19.5
22.0,0.0,5.5
23.0,0.0,5.5
23.0,1.0,19.5
24.0,0.0,5.5
25.0,0.0,5.5
26.0,0.0,5.5
27.0,0.0,5.5
27.0,1.0,19.5
27.0,2.0,34.0
28.0,0.0,5.5
28.0,1.0,19.5
28.0,2.0,34.0
29.0,1.0,19.5
29.0,2.0,34.0
30.0,1.0,19.5
31.0,1.0,19.5
31.0,2.0,34.0
31.0,3.0,97.0
31.0,4.0,160.5
31.0,5.0,174.5
31.0,6.0,189.5
31.0,7.0,206.0
31.0,8.0,222.0
32.0,1.0,19.5
32.0,2.0,34.0
32.0,3.0,97.0
32.0,4.0,160.5
32.0,5.0,174.5
32.0,6.0,189.5
32.0,7.0,206.0
32.0,8.0,222.0
32.0,9.0,239.0
33.0,1.0,19.5
34.0,1.0,19.5
34.0,2.0,34.0
35.0,2.0,34.0
36.0,2.0,34.0
37.0,2.0,34.0
38.0,2.0,34.0
39.0,3.0,97.0
39.0,4.0,160.5
40.0,3.0,97.0
40.0,4.0,160.5
41.0,3.0,97.0
41.0,4.0,160.5
41.0,5.0,174.5
41.0,6.0,189.5
41.0,7.0,206.0
41.0,8.0,222.0
41.0,9.0,239.0
42.0,3.0,97.0
42.0,4.0,160.5
43.0,3.0,97.0
43.0,4.0,160.5
43.0,5.0,174.5
43.0,6.0,189.5
44.0,3.0,97.0
44.0,4.0,160.5
44.0,5.0,174.5
44.0,6.0,189.5
44.0,7.0,206.0
44.0,8.0,222.0
45.0,3.0,97.0
45.0,4.0,160.5
45.0,5.0,174.5
45.0,6.0,189.5
45.0,7.0,206.0
46.0,3.0,97.0
47.0,3.0,97.0
48.0,3.0,97.0
48.0,4.0,160.5
49.0,3.0,97.0
50.0,3.0,97.0
50.0,4.0,160.5
50.0,5.0,174.5
51.0,3.0,97.0
52.0,3.0,97.0
52.0,4.0,160.5
52.0,5.0,174.5
52.0,6.0,189.5
53.0,3.0,97.0
54.0,3.0,97.0
54.0,4.0,160.5
55.0,3.0,97.0
55.0,4.0,160.5
56.0,4.0,160.5
57.0,4.0,160.5
57.0,5.0,174.5
57.0,6.0,189.5
57.0,7.0,206.0
57.0,8.0,222.0
57.0,9.0,239.0
58.0,4.0,160.5
59.0,4.0,160.5
59.0,5.0,174.5
59.0,6.0,189.5
59.0,7.0,206.0
59.0,8.0,222.0
59.0,9.0,239.0
60.0,5.0,174.5
61.0,5.0,174.5
61.0,6.0,189.5
61.0,7.0,206.0
62.0,5.0,174.5
62.0,6.0,189.5
62.0,7.0,206.0
62.0,8.0,222.0
62.0,9.0,239.0
63.0,5.0,174.5
64.0,5.0,174.5
65.0,5.0,174.5
66.0,5.0,174.5
66.0,6.0,189.5
66.0,7.0,206.0
66.0,8.0,222.0
67.0,5.0,174.5
68.0,6.0,189.5
68.0,7.0,206.0
68.0,8.0,222.0
69.0,6.0,189.5
69.0,7.0,206.0
69.0,8.0,222.0
69.0,9.0,239.0
70.0,6.0,189.5
70.0,7.0,206.0
70.0,8.0,222.0
